id,date,tweet,retweet_count,like_count
1349955452579303424,2021-01-15 05:43:55+00:00,"Zapisałem się po xboxa. Dostałbym już, ale nie mam 80 lat. #covid #szczepimysie",0,0
1349885521997262848,2021-01-15 01:06:02+00:00,"Orientuje się ktoś z Was czy skierowanie na szczepienie przeciwko COVID może wystawić kardiolog?

@szczepimysie @michaldworczyk",0,0
1349796706792169475,2021-01-14 19:13:07+00:00,"Teśc lat 70 dzwoni 11 stycznia do POZ w celu zapisania się na #szczepimysie przeciv #COVID
 Pani odpowiada, że zapisy dopiero od 15.01 i w pierwszej kolejności seniorzy 80+, ale jak już Pan zadzwonił, to Pana zapiszę.
Zbyt podobne, by spać spokojnie? 🤔",0,2
1349777103122788353,2021-01-14 17:55:13+00:00,"Skoro @SasinJacek ma #koronawirus #COVIDー19, czy to oznacza że czeka nas wkrótce całkowite wygaszenie #pandemia oraz to mityczne #wypłaszczenie do zera? 😉

#sasin #JacekSasin #KoronawirusWPolsce #COVID19 #COVID #Covid_19 #COVID20 #szczepionka #SzczepimySię #kwarantannanarodowa",0,0
1349759838016954369,2021-01-14 16:46:37+00:00,"Oczekujący na szczepionki COVID-19, uważajcie! Nasz zespół ostrzega przed potencjalnymi atakami wykorzystującymi fakt rozpoczęcia rejestracji na szczepienie przeciwko koronawirusowi. #szczepimysie  1/4",24,28
1349755395829542912,2021-01-14 16:28:58+00:00,"Papiez Franciszek i papież-emeryt Benedykt XVI zaszczepili się przeciwko COVID. Będą jakieś cenne opinie o ""covidiotach"" i ""królikach eksperymentalnych""?🤔

#SzczepimySię",21,99
1349704449099509761,2021-01-14 13:06:31+00:00,Dziś na osiedlowej górce 4 razy przyjeżdżała karetka. Dziadki pilnujący wnuków padają na #covid . Zachciało się małym zasrańcom sanek. Mordercy. #szczepimysie #zajob,0,0
1349679856381030401,2021-01-14 11:28:48+00:00,"#SzczepimySię Jeśli chcemy szybko zwalczyć #COVID to priorytetem powinny być potencjalne źródła transmisji: (medycy, handel, usługi, komunikacja, nauczyciele, policja) Seniorzy mogą bezpiecznie poczekać w domach. Zdrowego dnia!",0,0
1349656334728368128,2021-01-14 09:55:20+00:00,"Czy ktoś słyszał ile % pracowników systemu ochrony zdrowia dobrowolnie wzięło udział w eksperymencie medycznym preparatów GMO przeciw #covid?
#SzczepimySię",0,0
1349376144907362305,2021-01-13 15:21:57+00:00,"Jak wiemy kobiety w ciąży nie mogą się zaszczepić na COVID-19. Pytanie czy rząd przygotowuje szybszy program szczepienia chociaż dla partnerów kobiet w ciąży? Byłaby to jakaś osłona dla ciężarnych Polek. CC: @szczepimysie, @MZ_GOV_PL i @a_niedzielski, @michaldworczyk",1,5
1349291160502751233,2021-01-13 09:44:15+00:00,309 tysięcy 620 osób zostało zaszczepionych w całej Polsce przeciw COVID-19. W ciągu ostatniej doby 51 786 osób - informuje KPRM @szczepimysie. @RMF24pl,2,13
1349268620413710337,2021-01-13 08:14:41+00:00,"Czy MZ @MZ_GOV_PL i @a_niedzielski wezmą odpowiedzialność za skutki szczepienia na Covid? Jeśli nie to nie macie prawa namawiać ludzi do szczepień i po prostu... zamknijcie mordy
#koronawirus #zajob #plandemia #szczepionki #pfizer
#NieSzczepimySię, NIE #szczepimysie",1,1
1349134111433252865,2021-01-12 23:20:12+00:00,"Czy szczepionki na Covid były testowane na zwierzętach? Jestem wegetarianką i mnie to interesuje.
#koronawirus #koronawiruswpolsce #covid19 #szczepienia #szczepionki #szczepmysie #wegetarianizm #weganizm #szczepimysie",0,0
1348998680662188035,2021-01-12 14:22:03+00:00,"Min. Adam #Niedzielski (@MZ_GOV_PL): Do tej pory w przypadku szczepienia na COVID-19 jest 37 niepożądanych odczynów poszczepiennych.
#SzczepimySię",3,2
1348993468882944000,2021-01-12 14:01:20+00:00,"Polski Rząd (słusznie) prowadzi kampanię #SzczepimySię, która ma nakłonić jak największą liczbę obywateli Polski do zaszczepienia się przeciw COVID-19.

Na to wszystko wychodzi do mediów Pan Warchoł i mówi, że to jego sprawa, czy się zaszczepi.

Zaiste, promocja szczepień.",4,52
1348951320691146754,2021-01-12 11:13:51+00:00,"PAP: KE zakończyła rozmowy z firmą farmaceutyczną Valneva ws. zakupu jej szczepionki przeciw Covid-19; zakłada zakup 30 milionów dawek, a w późniejszym etapie kolejnych 30 milionów.
#SzczepimySię",3,19
1348930193868652545,2021-01-12 09:49:54+00:00,"Z powodu Covid-19 zmarło 31593 osób. To więcej niż liczba mieszkańców Mławy, Żywca i Grodziska Mazowieckiego.

#SzczepimySię, ale nie w weekendy, a szczepionki oddaliśmy Niemcom.",3,7
1348904287187968001,2021-01-12 08:06:58+00:00,"Historia Covid-19 w Bolanda: 1. wirus na nie groźny, 2. o matko wszystko zamykamy! 3. Nie bójcie się wirus słabnie idźcie głosować, jedźcie na wakacje, dzieci chodźcie do szkoły.4.O matko wirus atakuje, zamykamy wszystko! 5.Eee nie jest tak źle, szczepimy się, dzieci do szkoły...",0,6
1348697760376221697,2021-01-11 18:26:18+00:00,Aaaa.....zaświadczenie o szczepieniu przeciw #Covid_19 sprzedam!!! Tylko poważne oferty 🎯💉🦠#szczepimysie #szczepionka #wypierdalać,0,0
1348653414545293314,2021-01-11 15:30:05+00:00,"Koronka chce ze mną grać w pokera.
Raz mi otwiera, raz zamyka.
Ja za swoją szczepionką idę w świat
Cuda przecież się zdarzają i igły się wbijają
Covid przekorny znowu chorobę da
#szczepimysie",0,0
