id,date,tweet
1350953330214842370,2021-01-17 23:49:08+00:00,First shift completed as a new vaccinator - well organised team and lovely staff and of course amazing patients  👏❤️ @NHSKentCHFT #vaccines #covid #notmynormaljob #supported
1350953282781515776,2021-01-17 23:48:56+00:00,RANT: I am suffering greatly from the envy of some of my American peers who have already received the Covid vaccine.
1350953250921590785,2021-01-17 23:48:49+00:00,"Today we topped 397,000 deaths in the United States from COVID-19 and will surely top the 400K mark. #WearAMask #WashHands #SocialDistancing #StayHome #vaccine"
1350953119237206017,2021-01-17 23:48:17+00:00,I support a #PeoplesVaccine! I’m calling on @JNJNews to commit right now to ensuring the COVID-19 vaccine is distributed fairly and equitably to people all over the world. People over profit! #OneWorldProtected
1350953103332438017,2021-01-17 23:48:13+00:00,I have been tested negative for covid. But when it's time for me to take the vaccine I would.
1350953053176922114,2021-01-17 23:48:02+00:00,making covid vaccine appointments in nyc has been very hard for people but especially for the elderly that aren’t so tech savvy :/ it seems calling in isn’t easy either
1350953010860589056,2021-01-17 23:47:51+00:00,The covid vaccine is Kafkaesque because I don't know what Kafka is and I also don't know what the vaccine is
1350952972851814400,2021-01-17 23:47:42+00:00,"Riverside County RUHS, Riverside Medical Clinic, Disney Land, Covid Vaccines starting to be available in CA to patients 65 and older and first responders and teachers! Check with your county and PCP! #CovidVaccine @willsuh76 @MitulPPatel1 @bkolskk @adityadoc1"
1350952923073798144,2021-01-17 23:47:31+00:00,"I think I'm getting the COVID vaccine tommorow... Not entirely sure, I'm going in for a check-up so I can get another prescription refill, but apparently my county just started rolling it out to healthcare workers at my clinic."
1350952863481159684,2021-01-17 23:47:16+00:00,"If you had the chance to get to Covid vaccine right now, would you do it?"
1350952628017111044,2021-01-17 23:46:20+00:00,I’m so happy my dad got the covid vaccine 😭😭
1350952609092411392,2021-01-17 23:46:16+00:00,There are massive shortages of the Covid-19 vaccine because Trump let the stockpiles run out! President Biden will have manufacturers  ramp up production immediately and Dr. Fauci said President-elect Biden is on track for a smooth and effective distribution
1350952565232578561,2021-01-17 23:46:05+00:00,"I have finally seen the full COVID narrative loop: someone saying, ""the people in Norway who died after taking the COVID vaccine may have died simply because they are old and frail""

...The exact same thing others said, doubting whether old people were truly dying *of* COVID"
1350952531481001989,2021-01-17 23:45:57+00:00,#NEW: DODGER STADIUM MAY RUN OUT OF COVID-19 VACCINES AFTER WEDNESDAY. @CoreResponse tells ABC News their allotment of vaccine doses will likely run out Wednesday and certainly by Thursday. The group is in charge of vaccinations at Dodger Stadium. @ABC7
1350952528117170180,2021-01-17 23:45:56+00:00,"I just read that people with Down Syndrome are 10 times more likely to die after contracting Covid 
I shouldn’t have to assume that these folks are at the front of the line for the vaccine 
If you don’t understand what I just said, unfollow me because I’m getting tired 
Fed app"
1350952335531520007,2021-01-17 23:45:10+00:00,I gave about 200 covid vaccines today and I am exhausted 😫
1350952167885205507,2021-01-17 23:44:30+00:00,COVID vaccine shot 1of 2 done!
1350952139015811083,2021-01-17 23:44:24+00:00,Would any like to buy my flowers for Valentine’s Day and I’ll get the covid vaccine and kiss you
1350951952495083526,2021-01-17 23:43:39+00:00,"#skypapers Rachel, there have been many people of 79+ in ICU with Covid who were surprised to be there. Tell your friends they can pass on the vaccine appointment and let some deserving person have the vaccine."
1350951803278516232,2021-01-17 23:43:04+00:00,Projection of 400k Covid-19 deaths in US  by mid week. 500k by mid year.  Quite a hoax! Oh and now we're looking at the Sputnik vaccine and Brazil has approved the Chinese one. Oh how our MSM laughed. Ignorant tossers.
1350951776061706241,2021-01-17 23:42:57+00:00,"Shout out to all the other #GenX-ers spending hours &amp; hours online trying to get their elderly parents signed up for COVID-19 vaccines—especially in NY (looking at you, Nassau County 👀)—what a hot dumpster fire mess of a system 🤬"
1350951536084590593,2021-01-17 23:42:00+00:00,"I’m sorry. If you support Donald Trump, you should not get first dibs on the covid vaccine. You wait like the rest of us. I said what I fucking said."
1350951403481653251,2021-01-17 23:41:28+00:00,Now tho they're on about vaccinating ALL adults by September....what's the odds with this sort of painstakingly slow roleout the virus mutates enough to render the vaccine so ineffective by then that we need to start the process all over again just in time for next flu/covid/
1350951384229814272,2021-01-17 23:41:24+00:00,Americans are the only people I know who can be a full time sales associate at Autozone and argue with a Virologist about how Covid is fake. #COVID19 #CovidVaccine #coronavirus
1350951361588977671,2021-01-17 23:41:18+00:00,Any medical doctor that says “there’s nothing wrong with (arbitrarily) changing the dosage schedule of the Covid vaccine” should be de-certified from the profession. If I was one of their patients I would NEVER trust their professional judgement again. Complete incompetence.
1350951354823544834,2021-01-17 23:41:17+00:00,.@sbancel You have a responsibility to make sure the COVID-19 vaccines @Moderna_TX produces are available to everyone who needs them—especially the most vulnerable. Will you commit now to put people over profit and ensure a #PeoplesVaccine?
1350951281372884994,2021-01-17 23:40:59+00:00,My manager thinks Covid is fake AND that the vaccine was created to thin out the population LMAO
1350951180709539846,2021-01-17 23:40:35+00:00,"Finding a measured bit of peace as more of our elders get the vaccine (or at least get scheduled), even as several family &amp; chosen kin are battling covid right now, even as we know there are more dark days ahead. Prayers and masks up and much light to all...🙏🏽💛"
1350951134609944576,2021-01-17 23:40:24+00:00,Day 17 post #CovidVaccine first dosage: What a nice and relaxing day to not have any symptoms or side effects from the vaccination
1350951092276908032,2021-01-17 23:40:14+00:00,i really hope that whenever i eventually get my covid vaccine i turn up and it’s mildred ratched and instead of vaccinating me she just murders me instead
1350951082458050562,2021-01-17 23:40:12+00:00,Can I just say I got the COVID vaccine yesterday and I haven’t grown a third nipple or been spied on by the government yet x
1350951077051559940,2021-01-17 23:40:10+00:00,if u ate food out of an easy bake oven do not worry about what’s in the covid vaccine
1350950988354629635,2021-01-17 23:39:49+00:00,Anyone get a #COVID vaccine at the #Indio fairgrounds? How was your experience?
1350950845454684160,2021-01-17 23:39:15+00:00,"There should be transparency in the pricing of COVID-19 vaccines. The so-called ""non-disclosure agreement"" with vaccine makers is unjust and against public interest. Bakit itatago sa publiko ang totoong presyo?"
1350950811929604096,2021-01-17 23:39:07+00:00,Does anyone know how I go about finding out if I'm eligible for a Covid vaccine and where I can get it?
1350950723928862721,2021-01-17 23:38:46+00:00,Welp I don’t have covid. The vaccine did its job 👍🏼
1350950580890570762,2021-01-17 23:38:12+00:00,"I once ate a piece of pizza that fell cheesy side down onto the Burrito Loco floor. I have no concerns about what’s in the Covid vaccine, babe 😗"
1350950511596462085,2021-01-17 23:37:56+00:00,My lovely grandparents got their first COVID vaccine doses on Friday evening! 🙌🏼 Feeling very happy/relieved/positive (and still totally wowed by the pace and scale of the science behind this!) 🦠💉
1350950310181822465,2021-01-17 23:37:08+00:00,Illegal immigrants crossing The border will be getting covid vaccines before Americans. Truth. Welcome to your new fucking shit show
1350950271304806403,2021-01-17 23:36:58+00:00,i just imagined a scenario where a kid uses the covid vaccine to come out to their anti-vax parents
1350950226266349570,2021-01-17 23:36:48+00:00,.@sbancel You have a responsibility to make sure the COVID-19 vaccines @Moderna_TX produces are available to everyone who needs them—especially the most vulnerable. Will you commit now to put people over profit and ensure a #PeoplesVaccine?
1350950185048944644,2021-01-17 23:36:38+00:00,julia holban*l is going to come on her story one day with her opinion on the covid vaccine and that’ll be the day twitter breaks down
1350950110646173697,2021-01-17 23:36:20+00:00,"I learned today that at least 55 people who have received the Covid-19 vaccine have died BECAUSE of the vaccine! AND, over 1,300 have been hospitalized with complications FROM the vaccine! Why is the media silent on this?"
1350950028400062466,2021-01-17 23:36:00+00:00,"prediction: every reaction to the covid vaccines not purchased by australia will be treated by media as the worst thing thats happened in the history of humanity so rw media can go 'see, maybe az doesnt work, but it probably wont kill you'"
1350949934300880917,2021-01-17 23:35:38+00:00,After the vaccine is given birthing units across Australia will be desolate
1350949910011670528,2021-01-17 23:35:32+00:00,"People who said “the day the election is over, covid will not be a thing” are now in line to get the vaccine 🤷🏼‍♀️🤷🏼‍♀️"
1350949789869944837,2021-01-17 23:35:03+00:00,Tips for securing a covid vaccine appointment for my 85 year old grandma? This is the 2021 version of securing Hamilton tickets 🥴
1350949785398816773,2021-01-17 23:35:02+00:00,In a meeting at work on Friday ppl talked about being afraid of side effects associated w the vaccines. I asked how they felt about the long term side effects of having had covid. I pointed out that the poiny was that their odds were better w the vaccine than w Covid and their
1350949671942950916,2021-01-17 23:34:35+00:00,On my way to get my Covid vaccine!
1350949540027887621,2021-01-17 23:34:04+00:00,I’m torn on the vaccination messaging. The vaccine only protects you from dying. It doesn’t stop you from catching COViD and/or spreading it. So the same precautions will still need to be adhered too. One with COVID and the vaccine will still need to isolate to prevent spreading
1350949517278011397,2021-01-17 23:33:59+00:00,"Who’s looking forward to another week  in lockdown? 🙄

#lockdown #uklockdown #coronavirus #Covid19UK #coronavirus #covid-19 #week #weekendsover #sundayvibes #uk #london #vaccine #furlough #monday #homeschooling #home #nowork #StayHomeSaveLives #stayhome #keyworkers #2021"
1350949503143182337,2021-01-17 23:33:55+00:00,"After we get everyone vaccinated for covid, maybe we can get to work on the vaccine for those of you out here allergic to Black Joy."
1350949478883332107,2021-01-17 23:33:49+00:00,Administering Covid Vaccines For clinical this week 🥴.. Idk if I’m excited or nervous lol . I guess both !
1350949465335738375,2021-01-17 23:33:46+00:00,#PeoplesVaccine  .@JNJNews You have a responsibility to make sure the COVID-19 vaccines you produce are available to everyone who needs them—especially the most vulnerable. Will you commit now to put people over profit and ensure a #PeoplesVaccine?
1350949234745503747,2021-01-17 23:32:51+00:00,"How can we rely so much on a #vaccine that no one has any idea how it will work in the long term (esp with the incorrect dose time) why do we not have another plan running along side it @BorisJohnson, the #tiersystem ain’t it #COVID19 #CoronaVac #COVID #lockdown #ZeroCovid"
1350949137475391492,2021-01-17 23:32:28+00:00,It's funny that people has conspiracy theories in Covid vaccines turning into anything. What if I made a conspiracy theory where the vaccines turn people into Pokemon?? Isnt that funny??
1350949136066093062,2021-01-17 23:32:28+00:00,"406,790 Americans are dead because of COVID........that many deaths could have been prevented.  And even last week his admin were lying about the number of vaccines.  

Who should be held responsible?  I know whom I hold responsible."
1350949134803546115,2021-01-17 23:32:27+00:00,"I love that even though it’s been fixed, everyone driving down n Carrollton comes to an almost complete stop at banks"
1350949014670364672,2021-01-17 23:31:59+00:00,"I legit don’t understand why you’d have to still wear a mask after you get the covid vaccine.
 
How long are we supposed to accept masks everywhere as the new norm?

#fuckthat

If you’re a “mask nazi” or someone who thinks covid is deadly, please unfollow.

Thank you kindly!"
1350948968927256577,2021-01-17 23:31:48+00:00,if anyone wants to take my covid vaccine hmu ill give u my badge and everything
1350948940884156419,2021-01-17 23:31:41+00:00,I’m getting my covid vaccine tomorrow morning! Yayy for being in group 1A!! 💃🏻💃🏻
1350948872022056960,2021-01-17 23:31:25+00:00,my grandmother got her first covid vaccine today!! she's a 2 time cancer survivor at 81 years old. i love her so much.
1350948864287760384,2021-01-17 23:31:23+00:00,stop spreading harmful propaganda on social media❤️ fear mongering from either side of the covid and/or vaccine arguments can be detrimental to ppls health❤️ let ppl do what they like and you do what u like as long as you're not harming others (like by not wearing a mask)❤️
1350948821732360195,2021-01-17 23:31:13+00:00,In Fl seniors are being put in a waitlist to sign up to get the #CovidVaccine  unbelievable.
1350948694728839178,2021-01-17 23:30:42+00:00,"Instead of helping with the Covid-19 vaccine rollout, the national guard in each state are defending their Capitols against Trump and the violent insurrectionists."
1350948589724442628,2021-01-17 23:30:17+00:00,Emotionally devastated Winn Dixie doesn’t have the gallon jar of sour pickles
1350948572032880641,2021-01-17 23:30:13+00:00,.@sbancel You have a responsibility to make sure the COVID-19 vaccines @Moderna_TX produces are available to everyone who needs them—especially the most vulnerable. Will you commit now to put people over profit and ensure a #PeoplesVaccine?
1350948526801485829,2021-01-17 23:30:02+00:00,I aint the brightest light bulb in the room but that covid vaccine damn sure aint a vitamin 😒
