id,date,tweet
1350955831928516609,2021-01-17 23:59:04+00:00,"Doctors have been successfully treating Covid since last year.

Ask yourself why we're being discouraged to use the same drugs they have been using all along?"
1350955823015596039,2021-01-17 23:59:02+00:00,I thought Covid-19 came and left with 2020. Never knew a bit of it crossed over to 2021. Stay safe out there.
1350955814270414852,2021-01-17 23:59:00+00:00,"COVID and everything that has come with it has and continues to take a toll on so many people, including myself. Be kind to each other, lean on the ones you love, and know that you’re never alone in what you’re going through. Better days ahead, much love to you all❤️🙏🏻"
1350955811942576132,2021-01-17 23:58:59+00:00,This is a Brady playoff game. Keep in mind that anything is possible. Can’t rule out Brees testing positive for COVID mid game.
1350955811577737221,2021-01-17 23:58:59+00:00,UP being the epicenter of the more contagious covid strain just makes sense
1350955801159081990,2021-01-17 23:58:57+00:00,Blah think I'll go for another covid test in the next few days. Was sick and got a test and it was negative. Never truly got over the sickness and it has come back even worse so might as well I guess.
1350955794662096896,2021-01-17 23:58:55+00:00,"having                           disliking 
covid-19       🤝       Tyler, The Creator
                  no taste"
1350955793663881219,2021-01-17 23:58:55+00:00,Imagine having a chronic coughing disorder during Covid-19
1350955790383915011,2021-01-17 23:58:54+00:00,Watching a covid livestream like a chump and see a comment “iTs juST THe flU tHeRe aRE gOOd tREatMentS aVAilAblE” and thinking what planet have you been on for the last year m8?
1350955763183841280,2021-01-17 23:58:48+00:00,"so many people i know have had covid now, or probably had it"
1350955759824207873,2021-01-17 23:58:47+00:00,my dad literally gave me covid and i cant taste or smell anything and like he finally got through it and he gave me a bag of chips rn to say sorry as if i could taste it and i swear i’m gonna clock him
1350955751502729218,2021-01-17 23:58:45+00:00,What would you do if you found out your doctor has no intentions of vaccinating her patients with Covid shot🤬Received a voicemail that we’re on our own if we want to vac &amp; to go through the health depart🤬 It’s not like I would get 1 right away anyways since there are none left
1350955742455619586,2021-01-17 23:58:43+00:00,I would’ve love to see moneybagg yo fuck Covid 😭
1350955741612548100,2021-01-17 23:58:43+00:00,If covid hits me ima be on loccdown when we already are wthell
1350955733936963588,2021-01-17 23:58:41+00:00,"for me, trying to understand football is a lot like covid: I don’t want to get it"
1350955706460102657,2021-01-17 23:58:34+00:00,Finally took a covid test today. It came back negative thank you lord! 🙏🏾
1350955701364002817,2021-01-17 23:58:33+00:00,"Yo Conor really said Covid won’t go away in 2021 and we won’t have a normal world again until 2022. Fuck Dr Fauci, nobody predicts the future like Mystic Mac. 😢😢😢😢"
1350955692891525128,2021-01-17 23:58:31+00:00,"cw death ]

i was trying to reconnect with my dad and he said he was sick but feeling better and has said nothing else and now i’m terrified he’s dead from covid ahhhh"
1350955685496942593,2021-01-17 23:58:29+00:00,Woodward park having a covid fest rn
1350955677523578881,2021-01-17 23:58:27+00:00,Covid should finish.. I want to play football
1350955672268140545,2021-01-17 23:58:26+00:00,My wife's 99 year old grandma just got vaccinated for COVID. A point of hope in the darkness!
